Age_Group,Occupation,Education,Daily_Free_Time,Learning_Style,Primary_Goal,Current_Productivity,Stress_Level,Focus_Level,Skill_Level,Planet_Focus,Recommended_Missions,Recommended_Habits,Recommended_Daily_Hours,Recommended_XP_Target,Personalized_Plan
25-34,Student,Bachelors,1-2 hours,Visual,Creative Writing,7,3,9,1,Creativity,"Sketch interface concepts,Draft 500 words creative writing,Develop styling guide","Daily creative sessions,Sketching ideas,Review design references",1.5,90,Creative Expression & Side Projects Plan
18-24,Student,Bachelors,1-2 hours,Auditory,Creative Writing,7,6,6,10,Creativity,"Sketch interface concepts,Draft 500 words creative writing,Develop styling guide","Daily creative sessions,Sketching ideas,Review design references",1.5,90,Creative Expression & Side Projects Plan
18-24,Designer,Masters,1-2 hours,Kinesthetic,Financial Stability,6,6,5,6,Finance,"Audit monthly subscriptions,Map investment allocations,Refine savings target","Log expenses,Read financial journals,Budget weekly spending",1.0,70,Strategic Finance & Wealth Plan
18-24,Engineer,Bachelors,3-4 hours,Reading/Writing,Career Advancement,5,7,8,7,Career,"Adjust portfolio layouts,Optimize resume metrics,Apply to 3 start-up platforms","Network on LinkedIn,Update progress logs,Practice system design",2.5,120,Accelerated Professional Growth Plan
18-24,Engineer,Bachelors,5+ hours,Reading/Writing,Mindfulness,6,4,4,5,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
45+,Designer,Masters,3-4 hours,Kinesthetic,Financial Stability,7,5,6,4,Finance,"Audit monthly subscriptions,Map investment allocations,Refine savings target","Log expenses,Read financial journals,Budget weekly spending",1.0,70,Strategic Finance & Wealth Plan
25-34,Manager,Masters,1-2 hours,Auditory,Creative Writing,8,7,5,7,Creativity,"Sketch interface concepts,Draft 500 words creative writing,Develop styling guide","Daily creative sessions,Sketching ideas,Review design references",1.5,90,Creative Expression & Side Projects Plan
18-24,Other,Masters,1-2 hours,Reading/Writing,Career Advancement,7,5,4,7,Career,"Adjust portfolio layouts,Optimize resume metrics,Apply to 3 start-up platforms","Network on LinkedIn,Update progress logs,Practice system design",2.5,120,Accelerated Professional Growth Plan
18-24,Student,PhD,5+ hours,Reading/Writing,Mindfulness,7,6,8,3,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
18-24,Student,Bachelors,1-2 hours,Kinesthetic,Aesthetic Design,5,5,6,9,Fitness,"Execute 40min HIIT workout,Run 5k outdoor cardio,Perform muscle sets","Stretch daily,Daily cardio sessions,Keep steps above 10k",2.0,100,Peak Fitness Plan
18-24,Student,High School,3-4 hours,Kinesthetic,Learn React,8,6,8,8,Learning,"Complete React Routing Labs,Refactor API Integrations,Build custom hooks demo","Code for 2 hours daily,Read technical docs,Contribute to open source",3.5,150,Deep Dev & React Mastery Plan
25-34,Other,Masters,1-2 hours,Visual,Creative Writing,7,6,9,2,Creativity,"Sketch interface concepts,Draft 500 words creative writing,Develop styling guide","Daily creative sessions,Sketching ideas,Review design references",1.5,90,Creative Expression & Side Projects Plan
18-24,Student,High School,3-4 hours,Reading/Writing,Creative Writing,4,4,9,5,Creativity,"Sketch interface concepts,Draft 500 words creative writing,Develop styling guide","Daily creative sessions,Sketching ideas,Review design references",1.5,90,Creative Expression & Side Projects Plan
35-44,Engineer,Bachelors,3-4 hours,Auditory,Creative Writing,9,10,4,6,Creativity,"Sketch interface concepts,Draft 500 words creative writing,Develop styling guide","Daily creative sessions,Sketching ideas,Review design references",1.5,90,Creative Expression & Side Projects Plan
25-34,Student,Bachelors,5+ hours,Reading/Writing,Mindfulness,8,3,6,2,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
18-24,Engineer,High School,3-4 hours,Auditory,Physical Fitness,6,7,8,5,Fitness,"Execute 40min HIIT workout,Run 5k outdoor cardio,Perform muscle sets","Stretch daily,Daily cardio sessions,Keep steps above 10k",2.0,100,Peak Fitness Plan
25-34,Manager,PhD,5+ hours,Auditory,Side Projects,8,9,6,9,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
25-34,Student,High School,1-2 hours,Auditory,Mindfulness,4,3,5,4,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
18-24,Student,Bachelors,3-4 hours,Reading/Writing,Better Relationships,5,4,9,10,Relationships,"Schedule family dinner chat,Call a distant friend,Plan community meetup","Express appreciation,Daily active listening,Schedule social calls",1.2,75,Harmonious Social Relations Plan
25-34,Student,Bachelors,3-4 hours,Visual,Learn React,7,6,7,7,Learning,"Complete React Routing Labs,Refactor API Integrations,Build custom hooks demo","Code for 2 hours daily,Read technical docs,Contribute to open source",3.5,150,Deep Dev & React Mastery Plan
25-34,Manager,Masters,5+ hours,Visual,Career Advancement,5,9,6,4,Career,"Adjust portfolio layouts,Optimize resume metrics,Apply to 3 start-up platforms","Network on LinkedIn,Update progress logs,Practice system design",2.5,120,Accelerated Professional Growth Plan
18-24,Engineer,High School,1-2 hours,Kinesthetic,Mindfulness,9,4,7,2,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
18-24,Other,Masters,5+ hours,Auditory,Physical Fitness,8,7,7,4,Fitness,"Execute 40min HIIT workout,Run 5k outdoor cardio,Perform muscle sets","Stretch daily,Daily cardio sessions,Keep steps above 10k",2.0,100,Peak Fitness Plan
35-44,Other,Bachelors,1-2 hours,Kinesthetic,Side Projects,8,7,6,9,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
25-34,Engineer,Bachelors,1-2 hours,Visual,Creative Writing,5,6,6,1,Creativity,"Sketch interface concepts,Draft 500 words creative writing,Develop styling guide","Daily creative sessions,Sketching ideas,Review design references",1.5,90,Creative Expression & Side Projects Plan
25-34,Engineer,Masters,1-2 hours,Visual,Physical Fitness,5,6,8,4,Fitness,"Execute 40min HIIT workout,Run 5k outdoor cardio,Perform muscle sets","Stretch daily,Daily cardio sessions,Keep steps above 10k",2.0,100,Peak Fitness Plan
25-34,Other,Bachelors,3-4 hours,Visual,Learn React,9,7,9,10,Learning,"Complete React Routing Labs,Refactor API Integrations,Build custom hooks demo","Code for 2 hours daily,Read technical docs,Contribute to open source",3.5,150,Deep Dev & React Mastery Plan
25-34,Other,Bachelors,3-4 hours,Auditory,Side Projects,7,7,5,8,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
18-24,Designer,High School,3-4 hours,Visual,Learn React,9,8,5,5,Learning,"Complete React Routing Labs,Refactor API Integrations,Build custom hooks demo","Code for 2 hours daily,Read technical docs,Contribute to open source",3.5,150,Deep Dev & React Mastery Plan
18-24,Engineer,High School,1-2 hours,Reading/Writing,Physical Fitness,7,7,8,10,Fitness,"Execute 40min HIIT workout,Run 5k outdoor cardio,Perform muscle sets","Stretch daily,Daily cardio sessions,Keep steps above 10k",2.0,100,Peak Fitness Plan
45+,Designer,Bachelors,3-4 hours,Reading/Writing,Learn React,5,5,6,2,Learning,"Complete React Routing Labs,Refactor API Integrations,Build custom hooks demo","Code for 2 hours daily,Read technical docs,Contribute to open source",3.5,150,Deep Dev & React Mastery Plan
